county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
"Lexington, City of",Virginia,7446,272,3653.0,1,13.43,0.004
Stevens County,Kansas,5485,260,4740.2,1,18.23,0.004
Thomas County,Kansas,7777,453,5824.9,2,25.72,0.004
Jackson County,Minnesota,9846,263,2671.1,1,10.16,0.004
Sanpete County,Utah,30939,559,1806.8,2,6.46,0.004
Story County,Iowa,97116,4607,4743.8,18,18.53,0.004
Shelby County,Iowa,11454,478,4173.2,2,17.46,0.004
Union County,Oregon,26835,521,1941.5,2,7.45,0.004
Fond du Lac County,Wisconsin,103403,6005,5807.4,25,24.18,0.004
Jackson County,Oregon,220937,2197,994.4,8,3.62,0.004
Keokuk County,Iowa,10246,267,2605.9,1,9.76,0.004
Carver County,Minnesota,105090,2174,2068.7,9,8.56,0.004
Green Lake County,Wisconsin,18913,1001,5292.7,4,21.15,0.004
