"fips","dem_amount","rep_amount"
13051,208857.291626642,209119.973196539
13053,7870.66468497316,7880.56368605413
13055,17888.1366898139,17910.6347495733
13057,186734.712801372,186969.57061807
13059,92605.690812074,92722.1617672148
13061,2045.0594771444,2047.63156562551
13063,210896.57817654,211161.824574258
13065,4775.65406483473,4781.66044506337
13067,548529.836279471,549219.726861728
13069,31226.4850933202,31265.7589058971
13071,32905.6853062048,32947.0710629933
13073,113087.315067469,113229.545933463
13075,12462.3066938192,12477.9806416205
13077,107166.45656007,107301.240712589
13079,8950.92369601239,8962.18134792476
13081,16143.9910454038,16164.295478537
13083,11629.5619384824,11644.1885362105
13085,18839.948069614,18863.6432305401
13087,19053.5463777419,19077.5101830543
13089,547920.792454943,548609.917037668
13091,14868.8957397884,14887.596474846
13093,9662.43697916848,9674.58950731317
13095,63470.4486138718,63550.2759301895
13097,105603.436508025,105736.254837097
13099,7353.26608048744,7362.51434499785
13101,2890.79331878633,2894.42909382349
13103,46397.0162817488,46455.3701988206
13105,13850.6956966512,13868.1158329626
13107,16341.7138036034,16362.2669143102
13109,7688.09586079619,7697.76524353357
13111,18897.677342081,18921.445109598
13113,82568.0135618698,82671.8600460254
13115,71077.7234932141,71167.118543042
13117,176256.128232701,176477.807045576
13119,16849.0097854074,16870.2009265314
13121,767753.862009379,768719.472490086
13123,22636.3693502267,22664.8393020842
13125,2143.92085624418,2146.61728351213
13127,61548.0638407198,61625.473357562
13129,41827.0227500779,41879.6289479009
13131,17775.5646085032,17797.9210854104
13133,13222.8898585723,13239.5203982081
13135,675612.891840664,676462.615849287
13137,32709.405779817,32750.5446741965
13139,147527.877405391,147713.424455908
13141,6102.70571567049,6110.38113990646
13143,21498.3810667205,21525.4197611556
13145,25426.8580581016,25458.8376310446
13147,18909.9448124802,18933.7280088978
13149,8603.82644530439,8614.64755008924
13151,169262.948489226,169475.831921201
13153,113916.451743277,114059.725421432
13155,6794.73536936897,6803.28116511283
13157,52661.363960327,52727.5966000891
13159,10260.656565108,10273.5614790505
13161,10907.2244167387,10920.9425244988
13163,11085.4635454807,11099.40582609
13165,6260.73959904897,6268.61378382741
13167,6958.54217999415,6967.29399693957
13169,20735.6330542499,20761.7124341034
13171,13766.2666356682,13783.5805848404
13173,7521.40258654766,7530.86231775393
13175,34309.9498589653,34353.1017710763
13177,21642.7042478881,21669.9244588003
13179,44332.4731751468,44388.230499013
13181,5715.91959014142,5723.10855021864
13183,14114.085502282,14131.8369061642
13185,84722.0370407958,84828.5926583727
13187,24253.5105952093,24284.0144391931
13189,15379.0781852157,15398.42058102
13191,10375.3934941363,10388.442713678
13193,9342.76113288233,9354.51160203014
13195,21561.8832664342,21589.0018281193
13197,6031.98735689838,6039.57383806055
13199,15274.4438788693,15293.6546752276
13201,4126.19974958069,4131.38930566219
13205,15776.6885493324,15796.5310230312
13207,19900.7234511956,19925.7527582287
13209,6618.66108834454,6626.98543398629
13211,13909.8682009299,13927.3627589969
13213,28933.9113604735,28970.301783811
13215,141270.024269965,141447.700766034
13217,80636.247781942,80737.664668051
13219,29066.6886871476,29103.2461056441
13221,11011.1371071794,11024.985906803
13223,121712.789989949,121865.869188199
13225,19877.6317422087,19902.6320066056
13227,23518.1839871606,23547.7630046933
13229,14046.2536071333,14063.9196982712
13231,13683.2808064968,13700.4903836947
13233,30750.2185954673,30788.8934036696
13235,8036.63634331586,8046.74408834554
13237,15961.4222212269,15981.4970360164
13239,1658.99496752116,1661.08149942591
13241,12366.3317783428,12381.8850176868
13243,4891.11260976878,4897.26420317914
13245,146140.210018465,146324.011788054
13247,65591.999377035,65674.4949855667
13249,3793.53481698945,3798.30597759114
13251,10078.0877409311,10090.7630365299
13253,5837.87267822801,5845.21501972842
13255,48133.9457671005,48194.4842349746
13257,18707.8923588456,18731.4214321952
13259,4777.81891255224,4783.82801552804
13261,21304.988003956,21331.7834663117
13263,4470.41053666533,4476.03300954482
13265,1109.12364727274,1110.51860139958
13267,18246.7797950153,18269.7289232204
13269,5787.35956481936,5794.63837555277
13271,11444.8282665879,11459.2225232253
13273,6156.10529270249,6163.847878035
13275,32076.5486303972,32116.8915750245
13277,29329.3568768726,29366.2446553575
13279,19360.9547536289,19385.3051890375
13281,8686.09065856991,8697.01522774672
13283,4979.87136618683,4986.13459223063
13285,50456.8273679924,50520.2873435662
13287,5762.10300811504,5769.35005346495
13289,5859.52115540314,5866.89072437513
13291,17687.5274679909,17709.7732198471
13293,18992.9306416516,19016.8182100435
13295,50340.6472071525,50403.9610619622
13297,68259.8133809174,68345.6643215291
13299,25786.2227792089,25818.6543281799
13301,3791.36996927194,3796.13840712647
13303,14702.2024655399,14720.6935490664
13305,21595.7992140086,21622.9604320658
13307,1881.25266651921,1883.61873379876
13309,5668.29294035612,5675.42199999589
13311,22224.3266679934,22252.2783903085
13313,75501.228996,75596.1875258523
13315,6231.15334690962,6238.99032081025
13317,7055.23871137642,7064.11214436153
13319,6461.34882087189,6469.47531355356
13321,14610.5572454985,14628.933066062
4001,59195.9251936157,70448.7482904282
4003,103691.47818424,123402.663655839
4005,118146.459903449,140605.458702095
4007,44481.5542046369,52937.2554864211
4009,31980.6383176994,38059.9835485604
4011,7821.20407707878,9307.97239087022
4012,17381.5514486185,20685.6897479984
4013,3693550.03834347,4395673.79170591
4015,174722.141743383,207935.869642791
4017,91341.2551111694,108704.730415339
4019,862390.270018845,1026325.96520722
4021,381087.304024764,453529.925752625
4023,38289.1500501168,45567.7090156542
4025,193594.152170683,230395.346506759
4027,176044.615290213,209509.738210883
55001,15045.270164144,9614.70768849705
55003,11579.3518444317,7399.80618439125
55005,33665.0941298977,21513.7405864669
55007,11187.9664781439,7149.69064313757
55009,196840.052411621,125790.999076676
